homelat,homelon,n
0.5,116.4,4
0.6,97.8,4
0.6,124,1
0.7,10,1
0.7,30.3,1
0.9,-79.8,2
0.9,-52,2
1,-79.7,5
1,104,1
1,114.6,2
1.1,97.5,1
1.1,104,1
1.1,120.8,1
1.3,103.7,1
1.3,103.8,14
1.3,103.9,6
1.4,103.8,98
1.4,103.9,10
1.5,103.7,3
1.5,103.8,5
1.5,124.8,3
1.6,110.4,2
2,45.3,1
2,73.5,150
2.1,99.5,1
2.1,103.4,1
2.2,102.2,4
2.5,101.8,1
2.6,102,1
2.7,11.7,3
2.8,-60.7,2
2.8,95.9,4
3,99.1,1
3,101.7,9
3.1,101.5,5
3.1,101.6,16
3.1,101.7,27
3.1,101.8,1
3.2,101.5,1
3.2,101.7,3
3.3,101.7,2
3.4,-76.5,3
3.4,98.7,1
3.5,-76.5,47
3.6,98.7,6
3.6,101.7,28
3.8,-76.6,1
3.8,11.5,1
3.8,103.2,2
3.8,103.3,3
3.9,-75.5,6
3.9,-74.9,1
3.9,-56,2
3.9,-53.1,2
3.9,73.5,4
4,-73.8,1
4,13.9,1
4.2,10.1,2
4.2,73.5,8
4.2,102,40
4.4,-75.2,5
4.4,73.7,2
4.5,-75.7,1
4.5,114.7,6
4.6,-75.6,1
4.6,-74.3,122
4.6,-74.1,3
4.6,11.7,30
4.6,114.3,1
4.7,-74.1,174
4.7,-74,1
4.7,96.7,7
4.8,-75.7,2
4.8,-74.3,3
4.8,24.6,1
4.9,-74,1
4.9,-73.9,2
4.9,-58.9,1
4.9,-52.3,4
4.9,-1.9,2
4.9,-1.8,5
5,-75.5,1
5,7,1
5,8.3,2
5.1,-75.5,1
5.1,100.5,1
5.2,9.4,8
5.2,97.1,1
5.3,-4,1
5.3,73,1
5.3,103.1,3
5.4,100.3,1
5.5,-87.1,1
5.5,-0.4,1
5.5,7,1
5.5,95.2,1
5.5,102.2,4
5.6,-0.2,25
5.6,-0.1,1
5.7,-77.3,2
5.7,-0.3,1
5.7,0,1
5.7,7.4,1
6,80.2,3
6,80.4,8
6,102.1,1
6,124.6,1
6.1,5,3
6.1,80.2,33
6.1,100.4,1
6.1,125.2,3
6.2,-75.6,44
6.2,-75.2,1
6.2,1.2,1
6.4,-66.6,950
6.4,-63.6,9
6.4,3.2,9
6.5,3.3,1
6.5,3.4,29
6.5,3.4,2
6.5,3.5,1
6.5,3.6,2
6.5,10.4,1
6.5,101.5,1
6.6,7.5,1
6.7,-1.6,5
6.7,2.2,1
6.9,79.9,19
6.9,81.8,1
6.9,158.2,2
7,100.5,1
7,125.6,1
7.1,-73.1,11
7.1,-69.5,1
7.1,80,5
7.2,79.9,1
7.2,125.5,21
7.3,-80.5,14
7.3,80.6,2
7.3,99.3,1
7.3,126.1,2
7.4,-80.2,4
7.4,3.9,2
7.4,12.4,18
7.4,125.8,1
7.5,-80.1,6
7.5,-61.9,2
7.5,-5.5,7
7.6,-80.4,1
7.7,-80.6,1
7.7,-62.6,3
7.8,-80.7,1
7.8,-80.3,2
7.8,-72.4,5
7.8,-72.2,9
7.8,6.7,1
7.8,98.3,2
7.8,98.3,2
7.9,-72.5,2
7.9,-72.1,9
7.9,-67.5,1
7.9,-1,13
7.9,80.8,106
7.9,98.3,3
8,-80.5,1
8,-75.6,2
8,79.8,2
8,98.3,24
8,124.7,1
8,125.3,2
8.1,-71.7,4
8.1,-63.6,12
8.2,77.4,1
8.2,79.8,37
8.2,123.8,1
8.2,124.2,1
8.3,-82.9,1
8.3,-62.8,17
8.3,-62.7,4
8.4,-83.1,4
8.4,-71.8,2
8.4,-62.6,2
8.4,77,1
8.4,123.3,1
8.5,-80.8,512
8.5,-79.9,4
8.5,-71.2,2
8.5,-11.8,5
8.5,76.9,1
8.5,77,2
8.5,123.3,3
8.5,123.8,1
8.5,124.6,15
8.6,-82.4,1
8.6,-80.4,6
8.6,-79.9,14
8.6,-71.7,1
8.6,-71.2,50
8.6,-71.1,1
8.6,-70.2,2
8.6,-64,6
8.6,0.8,3
8.7,-82.4,1
8.7,-74,2
8.7,-66.2,24
8.7,76.7,3
8.7,77.8,2
8.8,-83.3,1
8.8,-82.4,2
8.8,-75.9,14
8.8,7.9,1
8.9,-79.9,3
8.9,-67.4,2
8.9,-64.2,2
8.9,-12,1
8.9,7.2,1
